benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,NO_CODE
amba_decomposed_lock,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
collector_v3,SUCCESS,SUCCESS,SUCCESS
detector,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
load_balancer,FALSE_RESULT,AI_ERROR,FALSE_RESULT
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,SUCCESS,FALSE_RESULT,SUCCESS
mux,SUCCESS,SUCCESS,SUCCESS
amba_decomposed_encode,AI_RATELIMIT,AI_ERROR,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,FALSE_RESULT,NO_CODE
shift,SUCCESS,SUCCESS,SUCCESS
simple_arbiter,SUCCESS,SUCCESS,ERROR_COMBINE_AIGER
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,FALSE_RESULT
narylatch,AI_RATELIMIT,SUCCESS,FALSE_RESULT
