benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,NO_CODE
amba_decomposed_encode,AI_ERROR,NO_CODE,NO_CODE
collector_v3,NO_CODE,NO_CODE,NO_CODE
collector_v2,NO_CODE,NO_CODE,NO_CODE
ltl2dba_alpha,NO_CODE,NO_CODE,NO_CODE
detector,NO_CODE,NO_CODE,NO_CODE
shift,NO_CODE,NO_CODE,NO_CODE
simple_arbiter,NO_CODE,NO_CODE,NO_CODE
mux,NO_CODE,NO_CODE,NO_CODE
simple_arbiter_enc,NO_CODE,NO_CODE,NO_CODE
load_balancer,NO_CODE,NO_CODE,NO_CODE
amba_decomposed_lock,AI_ERROR,AI_RATELIMIT,NO_CODE
ltl2dba_C2,NO_CODE,NO_CODE,NO_CODE
narylatch,AI_ERROR,AI_RATELIMIT,NO_CODE
prioritized_arbiter,NO_CODE,AI_RATELIMIT,NO_CODE
